epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.101,1.89652,2.73621,2.02587,0.15924,0.23221,0.10739,0.02694,2.86926,3.70182,3.35231,0.000552339,0.000552339,0.000552339
2,268.401,2.03309,2.62793,2.09646,0.09803,0.35968,0.06913,0.01696,2.37643,6.07944,2.75436,0.000742364,0.000742364,0.000742364
3,398.695,1.86518,2.50781,2.00151,0.17272,0.49265,0.14933,0.05018,2.32845,3.21874,2.5459,0.000565649,0.000565649,0.000565649
